time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_half_sarcomere_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_half_sarcomere_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.01	0.00068164	1	927.648	6.04923	-0	0.00700475	1	60	5.76626e-09	0.000999994	0	-0.01	8	0.0006	0.082	5.99997e-07	4.61301e-08	4.32e-05	0.0004752	927.648	6.04923	927.648	11.5282	0.145181	146.904	199.497	0.999743	0.000257202	0.958848	0.0410665	0	8.57339e-05	0.50823	0.49177	0	0.000604923	0.000566233	6.04923	0.12	0.0123402	0.0180193	0.0770456	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289051	0.5	0	0	0	0	0	0	0	0	0	4.5	0.0765791	6.56376e-06	5.78246e-06	0.00149841	0.103331	0.201433	12.3959	0.0523941	0.3	0.3	0.100002	0.250011	0.506165	2.99143	0.615967	2.60974e-06	1.95325e-08	-1.86578e-06	-0.000407329	-0.00196205	-0.609725
0.02	0.0199347	1	941.776	24.9547	-0	0.0070095	0	60	1.10892e-08	0.000999989	0	-0.02	8	0.0006	0.082	5.99993e-07	8.87132e-08	4.32e-05	0.0004752	941.776	24.9547	941.773	40.7529	0.533165	136.294	177.58	0.999486	0.000514403	0.952503	0.0474966	0	0	0.449588	0.550412	0	0.00249547	0.00246494	24.9547	0.12	0.0117936	0.0186601	0.0801482	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289054	0.5	0	0	0	0	0	0	0	0	0	4.5	0.307099	0.00189322	0.000196932	0.00856641	0.266533	0.401016	12.245	0.0584497	0.300001	0.3	0.100009	0.250027	0.512148	2.97937	0.596897	0.00030421	4.24071e-05	-1.04619e-05	-0.00103186	-0.00268967	-0.592201
0.03	0.0970663	1	954.891	47.0147	-0	0.00701426	0	60	1.60028e-08	0.000999984	0	-0.03	8	0.0006	0.082	5.9999e-07	1.28022e-07	4.32e-05	0.0004752	954.891	47.0147	954.886	69.3148	1.09955	126.582	196.996	0.998714	0.00128601	0.950103	0.0498971	0	0	0.403292	0.596708	0	0.00470147	0.00467147	47.0147	0.12	0.0113227	0.0192369	0.0829688	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289102	0.5	0	0	0	0	0	0	0	0	0	4.5	0.533448	0.0250715	0.00313479	0.0217165	0.431203	0.594633	12.0987	0.0643045	0.30001	0.300003	0.100022	0.250043	0.517953	2.96766	0.578261	0.00246731	0.000548418	-2.32271e-05	-0.00163795	-0.00326861	-0.575202
0.04	0.262252	1	967.089	69.3329	-0	0.00701901	0	60	2.05386e-08	0.000999979	0	-0.04	8	0.0006	0.082	5.99988e-07	1.64309e-07	4.32e-05	0.0004752	967.089	69.3329	967.082	97.2919	1.90187	117.498	216.692	0.9982	0.00180041	0.946674	0.0533265	0	0	0.408436	0.591564	0	0.00693329	0.00690381	69.3329	0.12	0.010913	0.0197592	0.0855468	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289287	0.5	0	0	0	0	0	0	0	0	0	4.5	0.729545	0.114988	0.0196332	0.0406518	0.592452	0.782481	11.9565	0.0699521	0.300047	0.300016	0.100041	0.25006	0.523585	2.9563	0.561349	0.00805845	0.00238387	-2.62733e-05	-0.0022072	-0.00380057	-0.558703
0.05	0.525396	1	978.416	90.119	-0	0.00702376	0	60	2.47257e-08	0.000999975	0	-0.05	8	0.0006	0.082	5.99985e-07	1.97805e-07	4.32e-05	0.0004752	978.416	90.119	978.407	124.648	3.00346	109.383	252.346	0.998457	0.00154321	0.946845	0.0530693	0	8.57339e-05	0.4393	0.5607	0	0.0090119	0.00897945	90.119	0.12	0.0105547	0.0202332	0.0879057	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289679	0.5	0	0	0	0	0	0	0	0	0	4.5	0.885224	0.305494	0.0697886	0.0652152	0.749967	0.964737	11.8184	0.0753714	0.300124	0.300057	0.100066	0.250075	0.52905	2.94526	0.54666	0.0152294	0.00589264	5.71677e-06	-0.00273901	-0.0042954	-0.542685
0.06	0.873337	1	988.953	115.041	-0	0.00702851	0	60	2.85908e-08	0.000999971	0	-0.06	8	0.0006	0.082	5.99983e-07	2.28726e-07	4.32e-05	0.0004752	988.953	115.041	988.941	151.43	4.47737	101.975	257.883	0.9982	0.00180041	0.940329	0.0596708	0	0	0.409465	0.590535	0	0.0115041	0.0114755	115.041	0.12	0.0102388	0.0206655	0.0900729	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290233	0.5	0	0	0	0	0	0	0	0	0	4.5	1.06377	0.574797	0.169089	0.09549	0.903853	1.14157	11.6842	0.080565	0.300232	0.300137	0.100096	0.250091	0.534352	2.93453	0.531023	0.021352	0.0101427	9.19984e-05	-0.00323345	-0.00475436	-0.527133
0.07	1	1	998.855	142.494	-0	0.00703326	0	60	3.21587e-08	0.000999968	0	-0.07	8	0.0006	0.082	5.99981e-07	2.5727e-07	4.32e-05	0.0004752	998.855	142.494	998.841	177.898	6.42319	96.3725	286.974	0.996142	0.00385802	0.941701	0.058299	0	0	0.389918	0.608025	0.00205761	0.0142494	0.0142205	142.494	0.12	0.00995616	0.0210647	0.0920876	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290751	0.5	0	0	0	0	0	0	0	0	0	4.5	1.2461	0.826002	0.313222	0.131649	1.05427	1.31315	11.5538	0.0855798	0.300332	0.300253	0.100132	0.250106	0.539496	2.9241	0.515386	0.0210051	0.0128195	0.000226967	-0.00369049	-0.00517753	-0.512034
0.08	1	1	1008.26	167.52	-0	0.00703802	0	60	3.54523e-08	0.000999965	0	-0.08	8	0.0006	0.082	5.99979e-07	2.83618e-07	4.32e-05	0.0004752	1008.26	167.52	1008.24	204.323	8.97107	91.7633	329.092	0.994342	0.00565844	0.940844	0.0590706	0	8.57339e-05	0.406379	0.589506	0.00411523	0.016752	0.0167197	167.52	0.12	0.00969964	0.0214379	0.0939829	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291112	0.5	0	0	0	0	0	0	0	0	0	4.5	1.39083	1.00093	0.473248	0.173639	1.20137	1.47963	11.4271	0.0904634	0.300402	0.300381	0.100175	0.25012	0.544487	2.91397	0.501815	0.019495	0.0131921	0.000374511	-0.00411091	-0.00556526	-0.497376
0.09	1	1	1017.11	212.682	-0	0.00704277	0	60	3.84927e-08	0.000999962	0	-0.09	8	0.0006	0.082	5.99977e-07	3.07941e-07	4.32e-05	0.0004752	1017.11	212.682	1017.09	230.435	12.2182	85.0099	467.317	0.994856	0.00514403	0.939643	0.0600137	0.000171468	0.000171468	0.424897	0.570988	0.00411523	0.0212682	0.0212173	212.682	0.12	0.00946796	0.0217842	0.0957517	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291524	0.5	0	0	0	0	0	0	0	0	0	4.5	1.68183	1.20071	0.635923	0.221112	1.34523	1.64117	11.3043	0.0951674	0.300482	0.300511	0.100222	0.250135	0.549331	2.90415	0.481123	0.0240561	0.0141197	0.000518513	-0.00449647	-0.00591886	-0.483156
0.1	1	1	1025.39	243.622	-0	0.00704752	0	60	4.12993e-08	0.000999959	0	-0.1	8	0.0006	0.082	5.99975e-07	3.30394e-07	4.32e-05	0.0004752	1025.39	243.622	1025.36	256.09	16.258	81.1098	399.226	0.995113	0.00488683	0.940672	0.0592421	8.57339e-05	0	0.433128	0.562757	0.00411523	0.0243622	0.0243311	243.622	0.12	0.00925946	0.0221041	0.0973944	163805	0.0226478	-0.0821145	0.275808	0.704819	-0	0.119388	7.16326	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291966	0.5	0	0	0	0	0	0	0	0	0	4.5	1.84861	1.41431	0.813445	0.273775	1.48594	1.79794	11.1856	0.0996642	0.300567	0.300654	0.100275	0.250149	0.554031	2.89466	0.466849	0.0217151	0.0150216	0.000674587	-0.00484866	-0.00623998	-0.469383
