time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_half_sarcomere_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_half_sarcomere_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.01	0.00068164	1	927.648	6.04923	-0	0.00700475	1	60	5.76626e-09	0.000999994	0	-0.01	8	0.0006	0.082	5.99997e-07	4.61301e-08	4.32e-05	0.0004752	927.648	6.04923	927.648	11.5282	0.145181	146.904	199.497	0.999743	0.000257202	0.965706	0.0342078	0	8.57339e-05	0.162551	0.837449	0	0.000604923	0.000566233	6.04923	0.12	0.0123402	0.0180193	0.0770456	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289051	0.5	0	0	0	0	0	0	0	0	0	4.5	0.0765791	6.56376e-06	5.78246e-06	0.00149841	0.103331	0.201433	12.3959	0.0523941	0.3	0.3	0.100002	0.250011	0.506165	2.99143	0.615967	2.60974e-06	1.95325e-08	-1.86578e-06	-0.000407329	-0.00196205	-0.609725
0.02	0.0199347	1	941.776	24.9547	-0	0.0070095	0	60	1.10892e-08	0.000999989	0	-0.02	8	0.0006	0.082	5.99993e-07	8.87132e-08	4.32e-05	0.0004752	941.776	24.9547	941.773	40.7529	0.533165	136.294	177.58	0.999486	0.000514403	0.959705	0.0402949	0	0	0.146091	0.853909	0	0.00249547	0.00246494	24.9547	0.12	0.0117936	0.0186601	0.0801482	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289054	0.5	0	0	0	0	0	0	0	0	0	4.5	0.307099	0.00189322	0.000196932	0.00856641	0.266533	0.401016	12.245	0.0584497	0.300001	0.3	0.100009	0.250027	0.512148	2.97937	0.596897	0.00030421	4.24071e-05	-1.04619e-05	-0.00103186	-0.00268967	-0.592201
0.03	0.09707	1	954.89	47.1833	-0	0.00701426	0	60	1.60028e-08	0.000999984	0	-0.03	8	0.0006	0.082	5.9999e-07	1.28022e-07	4.32e-05	0.0004752	954.89	47.1833	954.886	69.314	1.09953	126.558	196.972	0.998714	0.00128601	0.95559	0.0444102	0	0	0.161523	0.838477	0	0.00471833	0.00468838	47.1833	0.12	0.0113227	0.0192368	0.0829687	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289102	0.5	0	0	0	0	0	0	0	0	0	4.5	0.535387	0.025098	0.0031353	0.0217165	0.431203	0.594633	12.0987	0.0643044	0.30001	0.300003	0.100022	0.250043	0.517953	2.96766	0.578165	0.00247669	0.000549067	-2.32265e-05	-0.00163795	-0.00326861	-0.575202
0.04	0.2622	1	967.097	67.4847	-0	0.00701901	0	60	2.05386e-08	0.000999979	0	-0.04	8	0.0006	0.082	5.99988e-07	1.64309e-07	4.32e-05	0.0004752	967.097	67.4847	967.09	97.3122	1.90256	117.754	216.969	0.998457	0.00154321	0.958848	0.0411523	0	0	0.166667	0.833333	0	0.00674847	0.00671857	67.4847	0.12	0.0109127	0.0197595	0.0855485	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289283	0.5	0	0	0	0	0	0	0	0	0	4.5	0.709873	0.11334	0.0195785	0.0406519	0.592452	0.782481	11.9565	0.069956	0.300046	0.300016	0.100041	0.25006	0.523585	2.9563	0.562331	0.00782053	0.00234405	-2.63418e-05	-0.0022072	-0.00380057	-0.558701
0.05	0.522869	1	978.445	89.5253	-0	0.00702376	0	60	2.47257e-08	0.000999975	0	-0.05	8	0.0006	0.082	5.99985e-07	1.97805e-07	4.32e-05	0.0004752	978.445	89.5253	978.436	124.718	3.00683	109.462	270.058	0.998714	0.00128601	0.954904	0.0450103	0	8.57339e-05	0.149177	0.850823	0	0.00895253	0.00891643	89.5253	0.12	0.0105538	0.0202344	0.0879117	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289667	0.5	0	0	0	0	0	0	0	0	0	4.5	0.878491	0.299937	0.068683	0.0652093	0.749966	0.964736	11.8183	0.0753854	0.300122	0.300056	0.100066	0.250075	0.52905	2.94525	0.54699	0.0151254	0.00578136	4.34217e-06	-0.00273903	-0.00429539	-0.542678
0.06	0.868538	1	988.97	116.185	-0	0.00702851	0	60	2.85908e-08	0.000999971	0	-0.06	8	0.0006	0.082	5.99983e-07	2.28726e-07	4.32e-05	0.0004752	988.97	116.185	988.958	151.473	4.48014	101.803	263.369	0.998457	0.00154321	0.953875	0.0461248	0	0	0.140947	0.858025	0.00102881	0.0116185	0.0115891	116.185	0.12	0.0102383	0.0206662	0.0900763	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290234	0.5	0	0	0	0	0	0	0	0	0	4.5	1.07412	0.575207	0.167627	0.0954665	0.903848	1.14157	11.6841	0.0805734	0.300232	0.300136	0.100096	0.250091	0.534352	2.93452	0.530501	0.0216663	0.0101895	9.02004e-05	-0.00323353	-0.00475439	-0.527129
0.07	1	1	998.863	141.243	-0	0.00703326	0	60	3.21587e-08	0.000999968	0	-0.07	8	0.0006	0.082	5.99981e-07	2.5727e-07	4.32e-05	0.0004752	998.863	141.243	998.849	177.921	6.42509	96.5881	280.934	0.997171	0.00282922	0.946674	0.0533265	0	0	0.149177	0.850823	0	0.0141243	0.0140964	141.243	0.12	0.00995595	0.021065	0.0920893	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290752	0.5	0	0	0	0	0	0	0	0	0	4.5	1.23525	0.826596	0.313127	0.131617	1.05426	1.31314	11.5538	0.085584	0.300332	0.300253	0.100132	0.250106	0.539496	2.9241	0.515927	0.0204328	0.0128367	0.000226887	-0.00369059	-0.00517761	-0.512032
0.08	1	1	1008.29	164.533	-0	0.00703802	0	60	3.54523e-08	0.000999965	0	-0.08	8	0.0006	0.082	5.99979e-07	2.83618e-07	4.32e-05	0.0004752	1008.29	164.533	1008.28	204.429	8.98262	92.1131	305.525	0.995885	0.00411523	0.948388	0.0516118	0	0	0.168724	0.831276	0	0.0164533	0.0164251	164.533	0.12	0.00969869	0.0214393	0.0939902	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291088	0.5	0	0	0	0	0	0	0	0	0	4.5	1.36636	0.989624	0.471611	0.173602	1.20136	1.47962	11.427	0.0904825	0.300397	0.30038	0.100174	0.25012	0.544487	2.91396	0.503031	0.018837	0.0129503	0.000372512	-0.00411102	-0.00556535	-0.497368
0.09	1	1	1017.29	189.031	-0	0.00704277	0	60	3.84927e-08	0.000999962	0	-0.09	8	0.0006	0.082	5.99977e-07	3.07941e-07	4.32e-05	0.0004752	1017.29	189.031	1017.27	230.991	12.2951	87.7965	331.082	0.996914	0.00308642	0.948217	0.0517833	0	0	0.138889	0.861111	0	0.0189031	0.0188747	189.031	0.12	0.00946354	0.0217911	0.0957871	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291382	0.5	0	0	0	0	0	0	0	0	0	4.5	1.49623	1.13202	0.626185	0.221022	1.34521	1.64116	11.3036	0.0952631	0.300454	0.300503	0.100222	0.250135	0.54933	2.90409	0.490368	0.0182106	0.0126458	0.000506453	-0.00449676	-0.00591898	-0.483121
0.1	1	1	1025.81	221.126	-0	0.00704752	0	60	4.12993e-08	0.000999959	0	-0.1	8	0.0006	0.082	5.99975e-07	3.30394e-07	4.32e-05	0.0004752	1025.81	221.126	1025.79	257.465	16.5011	83.0452	343.689	0.996914	0.00308642	0.946674	0.0532407	8.57339e-05	0	0.15535	0.84465	0	0.0221126	0.0220881	221.126	0.12	0.00924896	0.0221206	0.0974793	163805	0.0271318	-0.0467804	0.579982	0.710441	-0	0.122677	7.3606	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291709	0.5	0	0	0	0	0	0	0	0	0	4.5	1.67493	1.29029	0.777113	0.273418	1.48588	1.7979	11.1837	0.0998999	0.300517	0.300624	0.100275	0.250149	0.55403	2.89451	0.475438	0.0192317	0.0128295	0.000629618	-0.00484985	-0.00624047	-0.469289
