time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_half_sarcomere_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_half_sarcomere_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.01	0.00068164	1	927.648	6.04923	-0	0.00700475	1	60	5.76626e-09	0.000999994	0	-0.01	8	0.0006	0.082	5.99997e-07	4.61301e-08	4.32e-05	0.0004752	927.648	6.04923	927.648	11.5282	0.145181	146.904	199.497	0.999743	0.000257202	0.958848	0.0410665	0	8.57339e-05	0.50823	0.49177	0	0.000604923	0.000566233	6.04923	0.12	0.0123402	0.0180193	0.0770456	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289051	0.5	0	0	0	0	0	0	0	0	0	4.5	0.0765791	6.56376e-06	5.78246e-06	0.00149841	0.103331	0.201433	12.3959	0.0523941	0.3	0.3	0.100002	0.250011	0.506165	2.99143	0.615967	2.60974e-06	1.95325e-08	-1.86578e-06	-0.000407329	-0.00196205	-0.609725
0.02	0.0199347	1	941.776	24.9547	-0	0.0070095	0	60	1.10892e-08	0.000999989	0	-0.02	8	0.0006	0.082	5.99993e-07	8.87132e-08	4.32e-05	0.0004752	941.776	24.9547	941.773	40.7529	0.533165	136.294	177.58	0.999486	0.000514403	0.952503	0.0474966	0	0	0.449588	0.550412	0	0.00249547	0.00246494	24.9547	0.12	0.0117936	0.0186601	0.0801482	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289054	0.5	0	0	0	0	0	0	0	0	0	4.5	0.307099	0.00189322	0.000196932	0.00856641	0.266533	0.401016	12.245	0.0584497	0.300001	0.3	0.100009	0.250027	0.512148	2.97937	0.596897	0.00030421	4.24071e-05	-1.04619e-05	-0.00103186	-0.00268967	-0.592201
0.03	0.09707	1	954.89	47.1696	-0	0.00701426	0	60	1.60028e-08	0.000999984	0	-0.03	8	0.0006	0.082	5.9999e-07	1.28022e-07	4.32e-05	0.0004752	954.89	47.1696	954.886	69.314	1.09953	126.56	196.974	0.998457	0.00154321	0.953361	0.0466392	0	0	0.400206	0.599794	0	0.00471696	0.004687	47.1696	0.12	0.0113227	0.0192368	0.0829687	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289102	0.5	0	0	0	0	0	0	0	0	0	4.5	0.535229	0.0250971	0.00313531	0.0217165	0.431203	0.594633	12.0987	0.0643044	0.30001	0.300003	0.100022	0.250043	0.517953	2.96766	0.578173	0.00247592	0.000549044	-2.32265e-05	-0.00163795	-0.00326861	-0.575202
0.04	0.264995	1	967.04	73.4763	-0	0.00701892	0	60	2.05386e-08	0.000999979	0	-0.04	8	0.0006	0.082	5.99988e-07	1.64309e-07	4.32e-05	0.0004752	967.04	73.4763	967.033	97.1759	1.89793	116.925	215.999	0.9982	0.00180041	0.949931	0.0500686	0	0	0.406379	0.593621	0	0.00734763	0.00731912	73.4763	0.12	0.0109146	0.0197571	0.0855366	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289302	0.5	0	0	0	0	0	0	0	0	0	4.5	0.773804	0.122257	0.0203731	0.040654	0.592453	0.782482	11.9568	0.0699291	0.30005	0.300017	0.100041	0.25006	0.523585	2.95632	0.559148	0.00863285	0.00254711	-2.53511e-05	-0.0022072	-0.00380059	-0.558714
0.05	0.537737	1	978.306	95.8586	-0	0.00702367	0	60	2.47257e-08	0.000999975	0	-0.05	8	0.0006	0.082	5.99985e-07	1.97805e-07	4.32e-05	0.0004752	978.306	95.8586	978.296	124.373	2.99056	108.559	269.277	0.997428	0.00257202	0.949931	0.0498971	8.57339e-05	8.57339e-05	0.399177	0.600823	0	0.00958586	0.00955118	95.8586	0.12	0.010558	0.0202287	0.087883	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289721	0.5	0	0	0	0	0	0	0	0	0	4.5	0.942066	0.32623	0.0739437	0.0652439	0.749974	0.964745	11.8189	0.075318	0.300133	0.30006	0.100066	0.250075	0.52905	2.9453	0.543844	0.0165579	0.00630715	1.08747e-05	-0.00273892	-0.00429542	-0.54271
0.06	0.902391	1	988.707	125.242	-0	0.00702842	0	60	2.85908e-08	0.000999971	0	-0.06	8	0.0006	0.082	5.99983e-07	2.28726e-07	4.32e-05	0.0004752	988.707	125.242	988.694	150.785	4.43655	100.629	299.876	0.998457	0.00154321	0.945302	0.0546125	0	8.57339e-05	0.401235	0.598765	0	0.0125242	0.0124893	125.242	0.12	0.0102459	0.0206555	0.0900226	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290355	0.5	0	0	0	0	0	0	0	0	0	4.5	1.15887	0.634053	0.183089	0.0956176	0.903879	1.14159	11.6853	0.0804422	0.300256	0.300149	0.100096	0.250091	0.534352	2.93461	0.526322	0.0236797	0.0112741	0.000109339	-0.00323304	-0.00475425	-0.527186
0.07	1	1	998.516	149.499	-0	0.00703317	0	60	3.21587e-08	0.000999968	0	-0.07	8	0.0006	0.082	5.99981e-07	2.5727e-07	4.32e-05	0.0004752	998.516	149.499	998.501	176.965	6.34521	95.8068	328.821	0.997428	0.00257202	0.942558	0.057356	0	8.57339e-05	0.419753	0.580247	0	0.0149499	0.0149141	149.499	0.12	0.00996558	0.0210512	0.092019	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29087	0.5	0	0	0	0	0	0	0	0	0	4.5	1.3088	0.883793	0.340937	0.132031	1.05434	1.31319	11.5554	0.085406	0.300355	0.300275	0.100133	0.250106	0.539497	2.92423	0.51233	0.0212503	0.0135714	0.000261133	-0.00368925	-0.00517693	-0.512111
0.08	1	1	1007.88	171.755	-0	0.00703792	0	60	3.54523e-08	0.000999965	0	-0.08	8	0.0006	0.082	5.99979e-07	2.83618e-07	4.32e-05	0.0004752	1007.88	171.755	1007.86	203.233	8.85256	91.571	354.199	0.997428	0.00257202	0.938957	0.0606996	0.000257202	8.57339e-05	0.437243	0.561728	0.00102881	0.0171755	0.017139	171.755	0.12	0.0097097	0.0214231	0.0939072	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291203	0.5	0	0	0	0	0	0	0	0	0	4.5	1.42838	1.04522	0.506988	0.174387	1.20152	1.4797	11.429	0.0902652	0.300419	0.300408	0.100175	0.25012	0.544489	2.91412	0.500032	0.0191577	0.0134559	0.000415752	-0.00410852	-0.00556372	-0.497466
0.09	1	1	1016.76	201.759	-0	0.00704268	0	60	3.84927e-08	0.000999962	0	-0.09	8	0.0006	0.082	5.99977e-07	3.07941e-07	4.32e-05	0.0004752	1016.76	201.759	1016.74	229.39	12.0714	86.7129	338.299	0.99537	0.00462963	0.938272	0.0617284	0	0	0.419753	0.579218	0.00102881	0.0201759	0.0201486	201.759	0.12	0.00947701	0.0217706	0.0956821	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291547	0.5	0	0	0	0	0	0	0	0	0	4.5	1.6018	1.21153	0.669792	0.222249	1.34547	1.64128	11.3062	0.0949796	0.300486	0.300538	0.100223	0.250135	0.549334	2.9043	0.485221	0.0195136	0.0135435	0.000559429	-0.00449287	-0.00591617	-0.483247
0.1	1	1	1025.23	229.196	-0	0.00704743	0	60	4.12993e-08	0.000999959	0	-0.1	8	0.0006	0.082	5.99975e-07	3.30394e-07	4.32e-05	0.0004752	1025.23	229.196	1025.2	255.593	16.1705	82.5816	356.554	0.996656	0.00334362	0.93227	0.067644	8.57339e-05	0	0.388889	0.610082	0.00102881	0.0229196	0.0228942	229.196	0.12	0.00926346	0.022098	0.097363	163805	0.0317102	-0.0607149	0.522281	0.710551	-0	0.122742	7.36453	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.291845	0.5	0	0	0	0	0	0	0	0	0	4.5	1.74127	1.35583	0.828899	0.275183	1.48626	1.79807	11.1868	0.099577	0.300544	0.300666	0.100276	0.250149	0.554035	2.89475	0.472275	0.019272	0.0131734	0.000692144	-0.00484429	-0.00623621	-0.469436
