time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_half_sarcomere_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_half_sarcomere_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.13	1	1	1047.77	321.675	-0	0.00706141	0	60	4.84893e-08	0.000999952	0	-0.13	8	0.0006	0.082	5.99971e-07	3.87915e-07	4.32e-05	0.0004752	1047.77	321.675	1047.74	332.135	34.8368	71.8609	566.602	0.996142	0.00385802	0.897634	0.101852	0.000257202	0.000257202	1	0	0	0.0321675	0.0321185	321.675	0.12	0.0087317	0.0229513	0.101785	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292846	0.5	0	0	0	0	0	0	0	0	0	4.5	2.17996	1.83999	1.34558	0.461914	1.89044	2.24126	10.8511	0.112294	0.300737	0.301079	0.100463	0.250189	0.567322	2.86791	0.433557	0.0169985	0.0123603	0.00110458	-0.00571409	-0.00701642	-0.430492
0.14	1	1	1054.71	371.432	-0	0.00706616	0	60	5.05273e-08	0.000999949	0	-0.14	8	0.0006	0.082	5.9997e-07	4.04218e-07	4.32e-05	0.0004752	1054.71	371.432	1054.68	357.955	44.0272	66.8328	485.56	0.995113	0.00488683	0.885117	0.114626	0.000171468	8.57339e-05	1	0	0	0.0371432	0.0371204	371.432	0.12	0.00857786	0.0232091	0.103132	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.293192	0.5	0	0	0	0	0	0	0	0	0	4.5	2.43833	2.00697	1.48695	0.531714	2.01922	2.38037	10.7449	0.11635	0.300804	0.301192	0.100533	0.250202	0.571493	2.85942	0.415328	0.0215685	0.0130004	0.00119404	-0.00595003	-0.00722291	-0.418226
0.15	1	1	1061.24	410.84	-0	0.00707082	0	60	5.24085e-08	0.000999948	0	-0.15	8	0.0006	0.082	5.99969e-07	4.19268e-07	4.32e-05	0.0004752	1061.24	410.84	1061.2	383.313	54.839	63.6085	603.004	0.993827	0.00617284	0.890775	0.108968	0	0.000257202	1	0	0	0.041084	0.0410455	410.84	0.12	0.00843725	0.0234494	0.104393	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.293584	0.5	0	0	0	0	0	0	0	0	0	4.5	2.61294	2.19599	1.63971	0.604693	2.1451	2.51539	10.6423	0.120224	0.30088	0.301314	0.100606	0.250215	0.575541	2.85122	0.401466	0.0208477	0.0139069	0.00129377	-0.00616162	-0.0074058	-0.406344
0.16	1	1	1067.45	444.722	-0	0.00707557	0	60	5.41451e-08	0.000999946	0	-0.16	8	0.0006	0.082	5.99968e-07	4.33161e-07	4.32e-05	0.0004752	1067.45	444.722	1067.4	408.48	67.548	61.0014	592.215	0.993313	0.00668724	0.893519	0.10631	8.57339e-05	8.57339e-05	1	0	0	0.0444722	0.0444427	444.722	0.12	0.00830696	0.0236763	0.105587	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.293927	0.5	0	0	0	0	0	0	0	0	0	4.5	2.74897	2.36143	1.79907	0.6807	2.26814	2.64645	10.5428	0.123964	0.300946	0.301442	0.100682	0.250227	0.579471	2.84327	0.389692	0.0193771	0.0140588	0.00139797	-0.00634978	-0.00756608	-0.394818
0.17	1	1	1073.41	477.975	-0	0.00708023	0	60	5.57482e-08	0.000999944	0	-0.17	8	0.0006	0.082	5.99967e-07	4.45986e-07	4.32e-05	0.0004752	1073.41	477.975	1073.36	433.706	82.5135	58.4424	618.737	0.993827	0.00617284	0.893861	0.105967	8.57339e-05	8.57339e-05	1	0	0	0.0477975	0.0477693	477.975	0.12	0.00818469	0.0238929	0.106732	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29421	0.5	0	0	0	0	0	0	0	0	0	4.5	2.87476	2.49747	1.95347	0.759481	2.38843	2.77367	10.4461	0.127611	0.301	0.301565	0.100761	0.250239	0.583285	2.83554	0.378568	0.0188648	0.0135999	0.00149249	-0.0065158	-0.00770478	-0.383623
0.18	1	1	1078.97	563.579	-0	0.00708489	0	60	5.7228e-08	0.000999943	0	-0.18	8	0.0006	0.082	5.99966e-07	4.57824e-07	4.32e-05	0.0004752	1078.97	563.579	1078.92	458.136	99.3958	51.8471	826.528	0.992541	0.00745885	0.875686	0.123714	8.57339e-05	0.000514403	1	0	0	0.0563579	0.0563053	563.579	0.12	0.00807311	0.0240936	0.107795	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.294669	0.5	0	0	0	0	0	0	0	0	0	4.5	3.30247	2.71853	2.10815	0.840727	2.50601	2.89717	10.3528	0.131057	0.30109	0.301689	0.100842	0.250251	0.586988	2.82808	0.352519	0.0291968	0.0152594	0.00158428	-0.00666113	-0.0078233	-0.372783
0.19	1	1	1083.9	649.412	-0	0.00708955	0	60	5.85941e-08	0.000999941	0	-0.19	8	0.0006	0.082	5.99965e-07	4.68753e-07	4.32e-05	0.0004752	1083.9	649.412	1083.84	480.61	117.2	46.6071	903.975	0.993313	0.00668724	0.875343	0.124143	0	0.000514403	1	0	0	0.0649412	0.0648903	649.412	0.12	0.00797628	0.0242704	0.108735	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29538	0.5	0	0	0	0	0	0	0	0	0	4.5	3.72295	3.0605	2.30179	0.924441	2.62096	3.0171	10.2643	0.134147	0.301227	0.301845	0.100926	0.250262	0.590584	2.82101	0.327069	0.0331228	0.0189677	0.00172169	-0.00678608	-0.00792272	-0.362362
0.2	1	1	1088.48	702.991	-0.000460799	0.00709421	0	60	5.98551e-08	0.00099994	0	-0.2	8	0.0006	0.082	5.99964e-07	4.78841e-07	4.32e-05	0.0004752	1088.48	702.991	1088.41	502.178	136.552	44.0152	977.305	0.990741	0.00925926	0.87037	0.129029	0	0.000600137	1	0	0	0.0702991	0.0702443	702.991	0.12	0.00788821	0.0244336	0.109604	163805	0.0239368	-0.0970444	0.246658	0.703876	-5.52959e-05	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.295939	0.5	0	0	0	0	0	0	0	0	0	4.5	3.94905	3.32867	2.52655	1.01089	2.73344	3.13358	10.1796	0.137044	0.301334	0.302025	0.101013	0.250274	0.594076	2.81424	0.311527	0.0310194	0.0200528	0.00189458	-0.0068902	-0.00800281	-0.352301
0.21	1	1	1092.76	756.398	-0	0.00709878	0	60	6.10191e-08	0.000999939	0	-0.21	8	0.0006	0.082	5.99963e-07	4.88153e-07	4.32e-05	0.0004752	1092.76	756.398	1092.68	523.047	157.544	41.3891	949.217	0.99177	0.00823045	0.879801	0.119513	0.000171468	0.000514403	1	0	0	0.0756398	0.0756012	756.398	0.12	0.00780713	0.0245856	0.110416	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.296444	0.5	0	0	0	0	0	0	0	0	0	4.5	4.17201	3.57112	2.75611	1.10002	2.84356	3.24674	10.0981	0.139783	0.30143	0.302209	0.101102	0.250285	0.597469	2.80772	0.296306	0.0300443	0.0203753	0.0020701	-0.00697413	-0.00806357	-0.34257
0.22	1	1	1096.83	780.536	-0	0.00710353	0	60	6.20937e-08	0.000999938	0	-0.22	8	0.0006	0.082	5.99963e-07	4.96749e-07	4.32e-05	0.0004752	1096.83	780.536	1096.76	543.565	180.538	40.964	811.082	0.992798	0.00720165	0.894376	0.10511	0.000428669	8.57339e-05	1	0	0	0.0780536	0.0780475	780.536	0.12	0.00773121	0.0247299	0.111188	163805	0.0239368	-0.0970444	0.246658	0.703876	-0	0.118848	7.1309	0.5	1	0.5	0.082	0.5	8	0.5	30	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.296843	0.5	0	0	0	0	0	0	0	0	0	4.5	4.23304	3.76238	2.98201	1.19164	2.95139	3.35668	10.0195	0.142417	0.301506	0.302389	0.101193	0.250295	0.600766	2.80143	0.289322	0.0235329	0.0195094	0.00223796	-0.00703902	-0.00810586	-0.33314
